0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:18 +0700] "GET /ASM_Java4/Views/css/loading.gif HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:18 +0700] "GET /ASM_Java4/Views/images/l-r-arrows.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:33 +0700] "GET /ASM_Java4/users/productDetail?id=6 HTTP/1.1" 200 24737
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:33 +0700] "GET /ASM_Java4/users/js/jquery.flexisel.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:33 +0700] "GET /ASM_Java4/users/js/jquery.easydropdown.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:33 +0700] "GET /ASM_Java4/Views/images/plus.gif HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:33 +0700] "GET /ASM_Java4/Views/images/b-arrow.png HTTP/1.1" 200 2909
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:33 +0700] "GET /ASM_Java4/users/Roboto-Regular.ttf HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:37 +0700] "POST /ASM_Java4/users/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:37 +0700] "GET /ASM_Java4/login HTTP/1.1" 200 13067
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:44 +0700] "POST /ASM_Java4/checklogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:44 +0700] "GET /ASM_Java4/users/index HTTP/1.1" 200 13489
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:44 +0700] "GET /ASM_Java4/Views/css/loading.gif HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:44 +0700] "GET /ASM_Java4/Views/images/l-r-arrows.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:47 +0700] "GET /ASM_Java4/users/productDetail?id=5 HTTP/1.1" 200 24831
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:47 +0700] "GET /ASM_Java4/users/js/jquery.flexisel.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:47 +0700] "GET /ASM_Java4/users/js/jquery.easydropdown.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:47 +0700] "GET /ASM_Java4/users/Roboto-Regular.ttf HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:49 +0700] "POST /ASM_Java4/users/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2022:08:18:49 +0700] "GET /ASM_Java4/users/formcart HTTP/1.1" 200 12377
